Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
JAWA TIMUR,-0.54,-1.13,0.3,1.23,0.89,1.32,1.54,1.44,1.67,1.98,2.16,2.93,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BANTEN,-1.05,-1.71,0.28,1.58,1.03,1.22,1.44,1.11,1.21,1.78,2.05,2.74,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BALI,-0.02,-0.59,1.01,1.74,1.26,1.71,2.03,1.63,1.62,1.79,2.2,2.91,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,-0.55,-1.15,0.87,1.57,0.98,1.59,1.77,1.35,1.57,1.92,2.27,3.01,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,-0.27,0.09,1.33,1.56,1.16,1.04,2.01,1.45,1.02,0.98,1.56,2.39,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN BARAT,-1.17,-1.21,0.01,0.96,0.51,0.83,1.31,1.05,1.16,1.33,1.57,1.85,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,-0.54,-1.0,0.68,1.29,0.76,1.08,1.46,1.01,1.35,1.88,2.07,3.13,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,-0.76,-1.14,0.43,1.51,1.19,1.42,1.63,1.47,1.76,2.13,2.87,3.66,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,-1.0,-1.24,0.75,1.66,1.3,1.85,1.92,1.51,1.54,1.55,1.96,2.68,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN UTARA,-1.35,-1.52,0.61,1.06,1.12,1.18,1.78,1.84,1.83,1.91,2.02,2.57,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI UTARA,-1.1,-1.62,0.99,2.01,1.2,1.85,2.07,0.93,1.01,1.13,0.72,1.23,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGAH,-1.18,-1.12,1.67,2.81,2.52,2.57,3.56,3.62,3.55,3.6,3.17,3.31,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI SELATAN,-0.75,-1.64,0.49,2.25,1.9,1.84,2.46,2.49,2.32,2.42,2.34,2.84,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGGARA,-1.45,-1.1,1.27,2.17,2.03,2.74,3.78,3.53,3.26,2.66,2.64,2.86,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
GORONTALO,-1.64,-1.55,1.29,2.39,0.68,1.05,2.4,1.65,1.53,1.39,1.63,2.52,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI BARAT,-1.08,-1.55,0.64,2.15,1.93,2.12,2.65,2.46,2.32,2.14,1.89,2.48,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU,-0.33,-0.95,0.75,0.84,1.65,2.64,2.91,2.81,2.51,2.46,2.75,3.58,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU UTARA,-1.64,-1.75,0.85,2.19,1.46,1.74,2.13,0.19,0.16,0.44,1.58,1.63,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT,-2.29,-3.67,-1.45,-0.92,-1.24,-0.67,0.57,-0.44,0.53,0.33,0.98,2.59,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,-1.36,-2.3,-1.21,-0.32,-0.28,0.13,0.84,1.72,1.6,1.52,1.5,2.15,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA,-1.13,-1.64,-0.53,0.16,0.45,0.55,0.21,-0.72,-0.68,-0.92,0.76,2.54,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA SELATAN,-0.75,-0.81,1.37,2.59,3.24,2.9,4.38,2.99,1.88,1.9,2.12,2.95,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA TENGAH,-1.78,-1.88,0.67,1.89,1.9,1.79,2.47,1.2,1.17,1.5,2.3,3.28,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,0.23,3.01,3.09,2.16,3.09,1.55,3.22,2.76,1.99,1.06,1.62,3.22,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
INDONESIA,-0.76,-1.24,0.39,1.56,1.19,1.38,1.69,1.6,1.82,2.1,2.27,2.92,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
ACEH,0.42,1.13,1.62,1.67,1.82,1.85,1.73,1.84,1.31,1.22,1.59,2.17,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
